"","year","gws_km3","gws_km3_6"
"1",2002-01-15,0,NA
"2",2002-02-15,1.29860066342888,NA
"3",2002-03-15,-10.1319343328267,0.487548675914077
"4",2002-04-15,3.79976785373167,-2.44728649437992
"5",2002-05-15,8.29867987592353,-3.00509565087016
"6",2002-06-15,-0.339822004772933,-1.04884082517884
"7",2002-07-15,-17.609011021764,-0.688938277731921
"8",2002-08-15,-2.04825427551254,-2.2740324659172
"9",2002-09-15,1.60559462132123,-1.12484118567438
"10",2002-10-15,5.95918313841321,1.82299796220417
"11",2002-11-15,-1.21188525318813,1.50666744908134
"12",2002-12-15,6.55532567668397,1.17583689926319
"13",2003-01-15,0.0780238655073047,-0.420425183012086
"14",2003-02-15,-3.94623735424956,-1.69740627685365
"15",2003-03-15,-0.379388677587651,-3.29730949410721
"16",2003-04-15,-3.61838935523845,-3.68095670186694
"17",2003-05-15,-8.87377181623749,-3.1659163406159
"18",2003-06-15,-3.04409362683741,-3.59789553110662
"19",2003-07-15,-2.22385938105108,-3.12066189875588
"20",2003-08-15,-0.855995186743293,-1.60264958913042
"21",2003-09-15,-2.97126382053201,-1.54794805412002
"22",2003-10-15,-0.754987561133979,-1.06955160984915
"23",2003-11-15,0.234302041515261,-0.65508090764689
"24",2003-12-15,-2.71588441677499,-0.667222821130503
"25",2004-01-15,0.646519284574125,-0.769614196684817
"26",2004-02-15,1.63082902647026,-2.27772209117795
"27",2004-03-15,-3.04411530143369,-2.18835825515574
"28",2004-04-15,-1.36933581445986,-3.75868611069016
"29",2004-05-15,-8.81434532544353,-4.16773780186313
"30",2004-06-15,-2.17970140064175,-2.69245376614203
"31",2004-07-15,-8.77544784863236,-2.51371862939637
"32",2004-08-15,-0.823481120567595,-2.94796616024491
"33",2004-09-15,5.80758891289294,-3.18927622870299
"34",2004-10-15,-0.296924993985917,-2.03015697679197
"35",2004-11-15,-11.4198305105348,-2.30350109744784
"36",2004-12-15,-3.62756181139021,-4.59032603532123
"37",2005-01-15,-1.82073233716623,-4.28973111456063
"38",2005-02-15,-2.4635458445028,-1.44139899267288
"39",2005-03-15,-7.91336071434743,-0.89476605327787
"40",2005-04-15,1.50664453057772,-1.01766326911114
"41",2005-05-15,5.67016222079166,-0.75711108139189
"42",2005-06-15,-0.347764175020137,-0.614593919847905
"43",2005-07-15,-2.55811563216585,-0.947113433898067
"44",2005-08-15,-0.900232718187306,-2.54975902748006
"45",2005-09-15,-7.05825774508352,-3.18641595753721
"46",2005-10-15,-0.488472553723249,-2.74029924443482
"47",2005-11-15,-3.94571134070031,-2.73831103033143
"48",2005-12-15,-4.16770575536303,-1.60600208762306
"49",2006-01-15,0.118584646448504,-1.5777633363348
"50",2006-02-15,-0.888303433566946,-2.32123141617788
"51",2006-03-15,-0.264404088833344,-1.61568616978316
"52",2006-04-15,-0.319040045993668,-1.78137793268145
"53",2006-05-15,-8.40651981975878,-1.86389176987869
"54",2006-06-15,0.0655657230052501,-2.11047595440305
"55",2006-07-15,-0.875565930941197,-2.27224414943264
"56",2006-08-15,-1.3833864567504,-0.349677049722668
"57",2006-09-15,-1.74390919597948,-0.766501382842904
"58",2006-10-15,-1.28964921617123,-0.576861213211513
"59",2006-11-15,3.12888277850105,-0.488493964331855
"60",2006-12-15,-2.43538027571617,-1.29834247109288
"61",2007-01-15,0.262275086847147,-1.0719243659927
"62",2007-02-15,-0.853182963472446,-3.27321150353644
"63",2007-03-15,-6.60300023654563,-2.84988936046286
"64",2007-04-15,0.0688594144298338,-2.81800676584922
"65",2007-05-15,-10.0788400467614,-2.99932196645203
"66",2007-06-15,0.104552582725272,-3.50569690898537
"67",2007-07-15,0.453570654528991,-4.03318936115341
"68",2007-08-15,-1.9410741670893,-4.28192658730246
"69",2007-09-15,-9.64124989174568,-5.98199522038762
"70",2007-10-15,-3.09609529857837,-6.82121044090516
"71",2007-11-15,-11.5712634036556,-6.66440380220789
"72",2007-12-15,-10.0958592157857,-5.57942972465523
"73",2008-01-15,-4.58172066857627,-5.46598612651701
"74",2008-02-15,-1.00023433490565,-4.84817416086805
"75",2008-03-15,-3.13140542642975,-4.1341890527593
"76",2008-04-15,-2.415433709749,-3.62090745867492
"77",2008-05-15,-7.86439160976189,-3.59094457403019
"78",2008-06-15,-5.81194856713325,-2.1236230960267
"79",2008-07-15,-1.50203110407,-2.72284059937541
"80",2008-08-15,-0.82045702703725,-3.6144302534132
"81",2008-09-15,5.67252344159117,-4.85088246916198
"82",2008-10-15,-6.01073872984126,-5.34724034460697
"83",2008-11-15,-13.2139295339886,-5.77714891143779
"84",2008-12-15,-13.2306618616259,-7.93591182859733
"85",2009-01-15,-4.48017835673996,-7.27375576904254
"86",2009-02-15,-3.39990842802216,-7.03417553912458
"87",2009-03-15,-7.28005406136605,-6.35569173870721
"88",2009-04-15,-2.03780237251253,-5.87867964587643
"89",2009-05-15,-11.7764481544808,-5.23733442344734
"90",2009-06-15,-9.15975905912171,-4.59839579563497
"91",2009-07-15,-1.61810579975529,-5.30342562522609
"92",2009-08-15,0.448162906552346,-5.40570514187791
"93",2009-09-15,-3.44642229449179,-5.30587927513314
"94",2009-10-15,-6.26798135005928,-5.72624763791896
"95",2009-11-15,-12.3901252543917,-5.53655527630013
"96",2009-12-15,-8.56080385865311,-7.21034180969799
"97",2010-01-15,-4.14031597647022,-6.48009927486501
"98",2010-02-15,1.58631707626536,-4.010611065928
"99",2010-03-15,-13.4891414948789,-3.25950065492708
"100",2010-04-15,-1.88652614106143,-2.57705681723869
"101",2010-05-15,2.42680399923034,-3.67519210316282
"102",2010-06-15,-4.05414139264761,-1.27096897496941
"103",2010-07-15,-0.0456529503398829,-1.93547375852845
"104",2010-08-15,-5.00249463927942,-5.12964519116121
"105",2010-09-15,0.936197274281575,-5.59095412351124
"106",2010-10-15,-5.87355484241567,-6.45412089755954
"107",2010-11-15,-16.7382245965662,-6.00927359902728
"108",2010-12-15,-6.82199498674778,-7.56727438830447
"109",2011-01-15,-5.22465359462971,-6.86839140897396
"110",2011-02-15,-2.33341084808588,-5.90226262879433
"111",2011-03-15,-8.41180746138156,-5.01389139018156
"112",2011-04-15,-1.6802569664326,-5.4449939402085
"113",2011-05-15,-10.9414519154885,-5.93319298961252
"114",2011-06-15,-1.49176755507116,-4.81334621592893
"115",2011-07-15,-7.81126889479134,-5.01971371750017
"116",2011-08-15,-5.26260514451002,-4.39808056690029
"117",2011-09-15,-1.69272681928002,-4.83620978788095
"118",2011-10-15,-2.91846197586003,-5.46534629890213
"119",2011-11-15,-7.21165301188915,-4.72390431621046
"120",2011-12-15,-4.12054288095511,-5.51137077807636
"121",2012-01-15,-11.5860879609184,-7.21754251947468
"122",2012-02-15,-0.813953248360046,-8.27939810336081
"123",2012-03-15,-6.4175255904754,-7.76066062762309
"124",2012-04-15,-13.15549242425,-6.48365022582366
"125",2012-05-15,-13.5827865152059,-8.42658631765392
"126",2012-06-15,-1.00811802652877,-9.81740109981123
"127",2012-07-15,-3.92402555012184,-8.29194300719035
"128",2012-08-15,-12.4715697993416,-6.56852479427947
"129",2012-09-15,-14.7624142834192,-8.14082379024527
"130",2012-10-15,-4.0027438685247,-6.55622733001354
"131",2012-11-15,-3.24227723774065,-5.49019481901429
"132",2012-12-15,-10.4419120023236,-4.23803271471789
"133",2013-01-15,5.58355321126855,-6.30972608423429
"134",2013-02-15,-6.07537473334614,-6.08205547470682
"135",2013-03-15,-7.2494416576408,-5.9205446741685
"136",2013-04-15,-16.4329040856231,-9.19081454647256
"137",2013-05-15,-1.87625358057578,-9.85289707016001
"138",2013-06-15,-9.47284719909372,-10.1474231527977
"139",2013-07-15,-14.0380660225558,-8.35119089068011
"140",2013-08-15,-10.0478698754708,-11.59182851956
"141",2013-09-15,-9.01659815346684,-11.3830643032407
"142",2013-10-15,-5.65551051291768,-11.3489060326858
"143",2013-11-15,-21.3200793538554,-10.3403620909481
"144",2013-12-15,-8.2202619011779,-10.0068672344667
"145",2014-01-15,-13.8331163992262,-12.2520261650359
"146",2014-02-15,-3.9966062250444,-12.5438866540012
"147",2014-03-15,-7.01562901457883,-12.5860479885447
"148",2014-04-15,-19.1264640963326,-14.7741893897924
"149",2014-05-15,-23.0712422876473,-15.3997680729078
"150",2014-06-15,-8.47322990843895,-17.6472159079093
"151",2014-07-15,-26.9619648067123,-15.7859519859947
"152",2014-08-15,-7.75007832373697,-14.5180274002888
"153",2014-09-15,-20.5003160245877,-13.3272563062374
"154",2014-10-15,-7.95888056484501,-12.9673155623563
"155",2014-11-15,-15.4636947734117,-12.6285286371985
"156",2014-12-15,-1.32860334413061,-10.7506162301853
"157",2015-01-15,-24.8023203434261,-12.1016464164239
"158",2015-02-15,-5.71735677278995,-14.511024815495
"159",2015-03-15,-9.23284158250827,-16.6969253736827
"160",2015-04-15,-16.065061682277,-16.1598076049036
"161",2015-05-15,-29.9199651678379,-17.1960865665753
"162",2015-06-15,-14.4440066932574,-18.1654932184785
"163",2015-07-15,-21.5796137307514,-17.0150443758375
"164",2015-08-15,-11.9350305428198,-15.54025119858
"165",2015-09-15,-15.0492814939276,-14.9576842495353
"166",2015-10-15,-9.16236862643101,-15.0896532918707
"167",2015-11-15,-21.0712061042927,-14.3743707435949
"168",2015-12-15,-10.9486049989892,-13.2414806140406
"169",2016-01-15,-22.3714279847642,-14.7428743814441
"170",2016-02-15,-7.64333525316499,-16.3185859085165
"171",2016-03-15,-8.25194071660154,-18.0134337183422
"172",2016-04-15,-18.170731230852,-17.6446649154413
"173",2016-05-15,-30.5254752667273,-19.5149456333611
"174",2016-06-15,-21.1176918579433,-19.9829680639055
"175",2016-07-15,-20.1588151673585,-18.3658972078663
"176",2016-08-15,-18.8650195606841,-15.5038236048855
"177",2016-09-15,-11.0600752998679,-14.8916137428724
"178",2016-10-15,-8.46830609461647,-13.6065888720339
"179",2016-11-15,-13.3530336488428,-12.3910330747645
"180",2016-12-15,-17.4444326858647,-11.5838318072333
"181",2017-01-15,-12.4486659423275,-12.2803798945171
"182",2017-02-15,-11.5716847770678,-12.8128598326018
"183",2017-03-15,-6.21686769468072,-11.5513099042323
"184",2017-04-15,-12.6475946183189,-11.3124770790011
"185",2017-05-15,-16.5479132773514,-12.5408727970277
"186",2017-06-15,-9.87513311564762,-13.4987353629687
"187",2017-07-15,-11.0156689909404,-12.5482542754694
"188",2017-08-15,-18.9420590852272,-12.0646650071905
"189",2017-09-15,-11.9640430903267,-12.2804068663772
"190",2017-10-15,-6.94470809332287,-12.4509520230611
"191",2017-11-15,-13.6463776676779,-10.8733859265175
"192",2017-12-15,-11.1695842707678,-10.0284946266365
"193",2018-01-15,-12.0389399310441,-10.5469355908565
"194",2018-02-15,-9.47666250596589,-10.287419177083
"195",2018-03-15,-6.89469529104024,-12.2209020170373
"196",2018-04-15,-10.0553538786428,-12.8824020721845
"197",2018-05-15,-12.0892791850375,-12.573215677155
"198",2018-06-15,-22.7704813104936,-12.5072471223894
"199",2018-07-15,-16.007940261927,-12.1325832479979
"200",2018-08-15,-7.62154413578891,-10.9985413532796
"201",2018-09-15,-6.49888396244682,-10.5979432791615
"202",2018-10-15,-7.80737063229363,-9.95729797341008
"203",2018-11-15,-5.28502781672779,-9.7896917931604
"204",2018-12-15,-20.366892865785,-9.77631449410826
"205",2019-01-15,-12.1640684274184,-11.2010861811925
"206",2019-02-15,-6.61590705429081,-11.8337678845897
"207",2019-03-15,-6.41862016813397,-12.9846105913122
"208",2019-04-15,-16.3560007547993,-14.2662664998444
"209",2019-05-15,-9.08111803711079,-16.6104559415696
"210",2019-06-15,-27.2719491061197,-17.8011907549111
"211",2019-07-15,-19.8540038786117,-16.6618804593747
"212",2019-08-15,-20.6810437046419,-16.033720144683
"213",2019-09-15,-13.5630290481831,-12.9261338676202
"214",2019-10-15,-9.52013898158099,NA
"215",2019-11-15,-5.31215614896063,NA
"216",2019-12-15,-8.6264314437429,NA
